name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Kenny Chesney - There Goes My Life (Official Music Video)-xP-Sxfntdb4.mp3,137.1951219512195, 405, 0.4420647091911516, 0.1381397396326065,2748.98072200016, 3261.179542461242, 6219.149513362171, 0.0529415097160909,140.08953947941373,-20.64823611381144,47.91526618059285,-1.0809266840096323,29.421629198416692,-12.199587236225039,13.03274258457691,2.88821863919609,-0.6626875344184785,1.358602369622329,1.5481819246779804,Country
Lady Antebellum - Just A Kiss-v_yTphvyiPU.mp3,144.23076923076923, 428, 0.4501194994639323, 0.051775772124528885,2575.6741900450734, 3201.5579637588207, 5359.285190507229, 0.05207431573499348,154.3661100578836,-17.559577551874852,36.076821356369,-6.459479707204266,20.383789491562954,-9.066368583486389,9.30937091742979,-6.629325567653025,1.0618888302700313,-0.13526993410922591,-2.5248307259037133,Country
Toby Keith - I Love This Bar--Fulz4ytZ54.mp3,114.79591836734694, 343, 0.46162461457046017, 0.08916355669498444,2671.061876711713, 3114.653890544838, 5386.393306322589, 0.0628371327995378,161.91287839645977,-33.34292509002485,31.820439971875977,-9.447069337974913,28.880762371694555,-11.111850019601839,6.3837731607609385,-2.9419424598404134,5.419735970919807,-5.522156941876856,3.3538856740682084,Country
Alan Jackson - Livin' On Love (Official Music Video)-DDXLmYyFu4I.mp3,119.68085106382979, 355, 0.4652003066529083, 0.09813280403614044,2505.8924557723017, 2996.5622235674628, 5258.599490400569, 0.05395455732252904,163.66578705591206,-31.52509797713217,49.609330204389195,-9.204729962347654,29.442474126544234,-9.823674282639608,6.886905710313527,5.009199451647898,-0.416666072901214,0.12165434919485696,-2.1658237999598136,Country
Luke Combs - One Number Away-Ct9BFr9XBaI.mp3,144.23076923076923, 408, 0.4801721520330713, 0.07801198959350586,2789.764550753716, 3306.5705292624716, 5861.849853342024, 0.05198786252481334,143.11615988457726,-25.359153059460684,30.553351493634583,-1.1866291551021837,22.307423664412372,-11.513602812353579,7.410535965092348,-1.1756412438370247,4.732240553648728,-1.4504490808503592,1.9296245243683119,Country
Shania Twain - Man! I Feel Like A Woman (Official Music Video)-ZJL4UGSbeFg.mp3,125.0, 374, 0.3986008226982242, 0.08396083861589432,3521.4744954272596, 3771.9510834360744, 7603.268880362645, 0.07643858373207514,136.31765012247857,-34.10107538157322,46.98862990456919,-21.146087960437356,25.035419700586047,-23.293519005026273,14.04705641585697,-8.917492292879386,5.898511048255983,-2.019108581374904,7.341377664486865,Country
Chris Stapleton - Fire Away (Official Video)-ZI-aPHeUDlk.mp3,117.1875, 344, 0.5024012786874942, 0.08536708354949951,1719.8819239949041, 2433.552761491247, 3461.939292486371, 0.030195664331002608,165.99086095847798,-15.511326068392508,27.677093427089325,16.559028654061983,20.921211114321153,1.5823113368662742,11.328008568635754,6.418368342968456,5.330541137876929,7.933827288800899,-0.24031080320664197,Country
Steve Earle - Copperhead Road-xvaEJzoaYZk.mp3,156.25, 464, 0.4896960035338134, 0.05853385105729103,3879.762285189498, 3717.4823256156455, 8079.665649442996, 0.09526061650050367,121.21208678718902,-36.362499051444594,51.270175625875574,-16.23557533366647,31.08383503777388,-12.158796532161592,8.733716485944512,-4.6996255752447045,3.6653156290155073,-0.05047195119567433,2.975220008027363,Country
Hard Times - David Newman (Ray Charles Presents)-yjj9Dgd6vRU.mp3,117.45383522727273, 354, 0.38372302860791424, 0.1054062470793724,2667.2596394864568, 3075.9928840965963, 5518.934683312573, 0.05767192387851522,136.79324039943637,-37.86309348477079,59.56199220255668,-6.980267833939569,20.290701508684656,-12.143506936358962,12.912748727316522,-12.177653627532766,5.242442380223229,-1.7829853492677346,-0.6050153057144746,Jazz
Miles Davis - Freddie Freeloader-RPfFhfSuUZ4.mp3,129.19921875, 384, 0.35057909019712435, 0.07736800611019135,3597.563853892333, 4194.6404205030785, 8549.648301446401, 0.06426504349683952,113.167807668676,-2.901781346145115,37.20959553176963,-14.5743798769548,31.516501959409116,-21.720456943908232,20.475269749134338,-14.37678674223882,9.467877074019668,-2.6001980171494523,8.553502241762148,Jazz
